uid,note,controller_id,build_tunnel,mac_address,ip_tunnel,ip_support,pcb_version,pcb_dipswitch_value,jacks_state,sensors_fault,phases_detected,frequency_detected,firmware_version,ip_public,ip_dhcp,datetime_reboot,datetime_online,datetime_tunnel,datetime_vglms_start,datetime_button_user,datetime_button_user_long,datetime_reset,datetime_reset_long,datetime_created,tunnel_ping_time
22J3Z5B6YE,Reliable 20240820,54,1,98f07b9da75a,10.241.64.78,172.17.2.190,5,2,3,0,,,11198,66.183.252.62,10.10.10.138,2024-11-22 13:54:56,,,2024-11-22 14:02:30,2024-07-25 17:40:12,2024-09-08 03:47:58,2024-08-22 14:47:33,,2024-07-12 13:16:16,69
242YBSB44B,Reliable 20240820,77,0,3ce0641c6b9a,10.241.64.38,172.17.2.126,5,2,3,0,,,11198,205.250.228.207,192.168.1.69,2024-11-20 04:20:27,,,2024-11-20 04:29:31,2024-09-26 13:20:02,2024-11-03 18:30:08,2024-08-20 17:09:17,,2024-04-18 15:00:46,220
2FZZ7NB5AD,Reliable 20240912,,0,60e85bfce4ba,,172.17.2.158,5,2,0,0,,,11176,209.20.60.12,192.168.111.76,2024-09-14 17:56:49,,,2024-09-14 18:05:10,,,2024-09-12 16:18:38,,2024-04-04 16:27:09,0
2U25GSB44B,Reliable 20240820 PRO,,1,3ce0646eea9a,10.241.65.154,172.17.2.126,5,0,0,0,,,11156,209.20.60.12,192.168.111.149,2024-09-10 16:43:54,,,2024-09-10 17:01:20,,,2024-08-22 14:17:59,,2024-08-20 20:58:20,10
33J3Z5B6YE,MIKE K Westburne Vancouver 20241018,,0,98f07b9da77b,,172.17.2.223,5,2,3,0,,,11192,75.155.191.75,192.168.1.76,2024-11-08 22:45:41,,,2024-11-07 22:06:05,2024-11-07 22:08:36,2024-11-07 22:09:27,2024-10-18 16:09:19,,2024-10-04 13:24:09,0
3DQTGSB44B,Reliable 20240820 PRO,,1,3ce06469c07b,10.241.65.142,172.17.2.223,5,0,0,0,,,11176,209.20.60.12,192.168.111.145,2024-09-10 16:04:44,,,2024-09-10 16:21:35,2024-09-10 16:18:31,,2024-08-20 20:33:50,,2024-08-20 20:14:49,10
3HNAHSB44B,Reliable 20240912,,0,3ce0647034fb,,172.17.2.223,5,2,0,0,,,11176,209.20.60.12,192.168.111.108,2024-05-27 13:01:54,,,2024-04-17 17:14:51,2024-11-01 16:39:09,2024-06-12 16:03:17,2024-04-04 15:20:58,,2024-04-04 15:03:54,0
3IL3Z5B6YE,Vancouver 20241022,,0,98f07b9dad1b,,172.17.2.127,5,2,0,,,,11186,209.20.60.12,192.168.111.194,2024-10-22 20:03:49,,,2024-10-22 20:17:35,,,,,2024-10-22 20:07:52,0
3TRH7NB5AD,Reliable 20240820 PRO,,1,60e85bf3c67b,10.241.65.62,172.17.2.223,5,0,0,0,,,11170,,192.168.1.86,2024-09-04 18:06:27,,,2024-08-20 21:09:15,2024-08-20 21:03:17,,2024-06-07 14:56:14,,2024-06-07 14:45:58,
4HUONYS44B,Reliable 20240820 PRO,,1,3ce4b0d750fc,10.241.65.170,172.17.2.224,5,0,0,0,,,11170,,192.168.1.154,2024-09-04 18:06:15,,,2024-08-20 21:38:05,2024-08-20 21:47:29,,2024-08-22 13:42:59,,2024-08-20 21:27:51,
4JL3Z5B6YE,Reliable 20240607 - Regatta old,,1,98f07b9dad3c,10.241.65.46,172.17.2.160,5,0,7,0,,,11192,184.151.230.15,192.168.1.128,2024-11-04 02:09:46,,,2024-11-04 21:50:06,2024-06-24 17:22:00,,2024-06-07 14:56:53,,2024-06-07 14:46:11,99
4ONYBSB44B,Reliable 20240820,,0,3ce0641c35dc,,172.17.2.192,5,2,0,0,,,11170,,192.168.1.242,2024-09-04 16:15:43,,,2024-09-04 16:29:22,,,2024-08-20 19:44:13,,2024-08-20 17:05:00,
4UH3Z5B6YE,Alex 20240820,,1,98f07b9d9e9c,10.241.65.106,172.17.2.128,5,2,0,0,,,11194,45.44.69.108,192.168.0.128,2024-11-21 03:42:49,,,2024-09-18 23:29:05,2024-10-04 00:43:38,2024-09-29 16:13:31,2024-09-29 18:31:53,,2024-07-12 13:10:20,78
4WO5GSB44B,Reliable 20240820,,0,3ce0646ebadc,,172.17.2.192,5,2,0,0,,,11170,,192.168.1.102,2024-09-04 16:16:52,,,2024-09-04 16:30:17,,,2024-08-20 19:43:59,,2024-08-20 17:05:43,
4ZEH7NB5AD,Vancouver 20241022,50,1,60e85bf3933c,10.241.64.190,172.17.2.160,5,2,0,0,,,11186,209.20.60.12,192.168.111.55,2024-10-22 18:53:42,,,2024-08-08 13:42:06,2024-06-27 16:19:08,2024-05-03 19:41:51,,,2023-11-30 18:49:33,10
5KT5GSB44B,Reliable 20240820 PRO,,1,3ce0646ecd5d,10.241.65.146,172.17.2.193,5,0,0,0,,,11176,,192.168.1.111,2024-05-27 13:01:54,,,2024-09-04 19:04:16,,,2024-08-22 14:17:51,,2024-08-20 20:58:23,
5O7TX5SRED,Toronto Office 20241120,203,1,648cbb79fddd,,172.17.2.193,5,2,7,,,,11198,209.20.60.12,192.168.111.126,2024-11-22 16:26:57,,,2024-11-22 16:33:49,2024-11-20 21:12:00,,,,2024-11-20 17:12:58,11
5P2BPSTQUB,Vancouver 20241022,,0,3484e4f0e9fd,,172.17.2.225,5,2,0,,,,11186,209.20.60.12,192.168.111.196,2024-10-22 19:08:14,,,,,,,,2024-10-22 19:13:43,0
5QI3Z5B6YE,Reliable 20240820,,0,98f07b9da21d,,172.17.2.129,5,2,0,0,,,11170,,192.168.1.131,2024-09-04 16:50:06,,,2024-09-04 17:04:06,,2024-07-11 17:50:59,2024-08-22 14:47:39,,2024-06-08 14:29:04,
