id,timestamp,trans_period_id,driver_id,chargepoint_id,ocpp_name,stop_state,start_datetime,ocpp_trans_id,start_id_tag,stop_id_tag,start_type,stop_reason,stop_datetime,meter_start,meter_stop,seconds_alloc,priority_charge,priority_charge_paid,shared,suspev_datetime,range_limit_datetime,plugout_datetime,overstay_chargeable_minutes,connector,column_name,invoice_id
784,2023-11-20 15:25:02,6,60,112,GS-1,,2023-11-20 14:19:36,2,.,.,Local,Local,2023-11-20 15:25:02,0,0,0,0,0,,,,,,1,,
785,2023-11-20 15:36:08,6,60,112,GS-1,,2023-11-20 15:25:35,3,.,.,Local,Local,2023-11-20 15:36:08,0,0,0,0,0,,,,,,1,,
786,2023-11-20 15:41:00,6,60,112,GS-1,,2023-11-20 15:40:23,4,.,.,Local,Local,2023-11-20 15:41:00,0,0,0,0,0,,,,,,1,,
787,2023-11-20 17:15:43,6,60,112,GS-1,,2023-11-20 17:15:04,5,.,.,Local,Local,2023-11-20 17:15:43,0,0,0,0,0,,,,,,1,,
788,2023-11-20 20:47:21,6,60,112,GS-1,,2023-11-20 20:46:43,6,.,.,Local,Local,2023-11-20 20:47:21,0,0,31,0,0,,,,,,1,,
789,2023-11-20 21:42:15,6,60,112,GS-1,,2023-11-20 20:47:48,7,.,,Local,Other,2023-11-20 21:42:15,0,0,3264,0,0,,,,,,1,,
790,2023-11-20 21:58:31,6,60,112,GS-1,,2023-11-20 21:47:16,8,.,.,Local,Local,2023-11-20 21:58:31,0,278,634,0,0,,,,,,1,,
791,2023-11-20 22:30:05,6,60,112,GS-1,,2023-11-20 22:27:40,9,.,.,Local,Local,2023-11-20 22:30:05,278,339,143,0,0,,,,,,1,,
792,2023-11-20 23:41:10,6,60,112,GS-1,,2023-11-20 23:41:00,10,.,.,Local,Local,2023-11-20 23:41:10,339,343,8,0,0,,,,,,1,,
793,2023-11-22 15:53:46,6,60,112,GS-1,,2023-11-20 23:41:37,11,.,.,Local,Local,2023-11-22 15:53:46,343,65761,144719,0,0,,,,,,1,,
794,2023-11-23 17:29:36,1,88,143,1130804099,,2023-11-23 15:43:56,4,.,.,Local,EVDisconnected,2023-11-23 17:29:36,977180,984640,8680,0,0,,,,,,1,,
795,2023-11-23 17:30:22,1,88,142,C11-1,,2023-11-23 15:45:19,5,.,.,Local,Local,2023-11-23 17:30:22,1533,2000,1019,0,0,,2023-11-23 16:02:21,,,,1,,
796,2023-11-23 17:50:13,1,88,142,C11-1,,2023-11-23 17:30:29,7,.,.,Local,Local,2023-11-23 17:50:13,2000,2458,960,0,0,,2023-11-23 17:46:29,,,,1,,
797,2023-11-23 18:58:22,1,88,143,1130804099,,2023-11-23 17:29:57,6,.,,Local,Other,2023-11-23 18:58:22,984640,989860,5271,0,0,,,,,,1,,
798,2023-11-23 19:01:37,1,88,142,C11-1,,2023-11-23 17:50:25,8,.,.,Local,Local,2023-11-23 19:01:37,2458,2759,660,0,0,,2023-11-23 18:01:25,,,,1,,
799,2023-11-23 22:33:08,1,88,142,C11-1,,2023-11-23 19:42:30,9,.,.,Local,Local,2023-11-23 22:33:08,2759,3965,2042,0,0,,2023-11-23 20:16:31,,,,1,,
800,2023-11-24 01:07:04,1,88,143,1130804099,,2023-11-23 22:31:17,10,.,.,Local,EVDisconnected,2023-11-24 01:07:04,989920,1003770,9346,0,0,,,,,,1,,
801,2023-11-24 03:19:31,7,73,121,B2-82,,2023-11-24 02:20:31,1,.,.,Local,Local,2023-11-24 03:19:31,297241,297333,152,0,0,,2023-11-24 02:32:32,,,,1,,
802,2023-11-24 05:08:36,7,73,121,B2-82,,2023-11-24 05:08:24,2,.,.,Local,Local,2023-11-24 05:08:36,297333,297333,0,0,0,,,,,,1,,
803,2023-11-24 05:42:46,7,64,117,B1-136,,2023-11-24 01:34:45,1,.,.,Local,Remote,2023-11-24 05:42:46,236447,236447,120,0,0,,2023-11-24 01:36:46,,,,1,,
804,2023-11-24 14:00:14,7,64,117,B1-136,,2023-11-24 05:45:55,2,.,.,Local,Remote,2023-11-24 14:00:14,236447,236447,120,0,0,,2023-11-24 05:47:56,,,,1,,
805,2023-11-24 14:07:21,7,64,117,B1-136,,2023-11-24 14:00:25,3,.,.,Local,HardReset,2023-11-24 14:07:21,236447,236447,120,0,0,,2023-11-24 14:02:25,,,,1,,
806,2023-11-24 16:36:46,7,73,121,B2-82,,2023-11-24 05:08:52,3,.,.,Local,Local,2023-11-24 16:36:46,297333,297531,233,0,0,,2023-11-24 05:18:52,,,,1,,
807,2023-11-24 16:39:39,7,73,121,B2-82,,2023-11-24 16:39:11,5,.,.,Local,Local,2023-11-24 16:39:39,297531,297531,0,0,0,,,,,,1,,
808,2023-11-24 16:40:23,7,73,121,B2-82,,2023-11-24 16:39:49,6,.,.,Local,Local,2023-11-24 16:40:23,297531,297531,0,0,0,,,,,,1,,
809,2023-11-24 16:42:42,7,73,121,B2-82,,2023-11-24 16:41:56,7,.,.,Local,Local,2023-11-24 16:42:42,0,0,0,0,0,,,,,,1,,
810,2023-11-24 16:45:45,7,73,121,B2-82,,2023-11-24 16:45:30,8,.,.,Local,Local,2023-11-24 16:45:45,0,0,0,0,0,,,,,,1,,
811,2023-11-24 20:54:45,7,64,117,B1-136,,2023-11-24 14:07:31,4,.,.,Local,Local,2023-11-24 20:54:45,0,0,120,0,0,,2023-11-24 14:09:31,,,,1,,
812,2023-11-25 00:45:56,7,72,123,B2-65,,2023-11-24 07:13:35,4,.,.,Local,Local,2023-11-25 00:45:56,0,384,276,0,0,,2023-11-24 07:19:36,,,,1,,
813,2023-11-25 00:46:43,7,74,124,B2-66,,2023-11-25 00:45:17,10,.,.,Local,Local,2023-11-25 00:46:43,184632,184632,0,0,0,,,,,,1,,
814,2023-11-25 00:47:40,7,74,124,B2-66,,2023-11-25 00:46:52,12,.,.,Local,Local,2023-11-25 00:47:40,184632,184632,0,0,0,,,,,,1,,
815,2023-11-25 00:49:03,7,72,123,B2-65,,2023-11-25 00:46:19,11,.,.,Local,Local,2023-11-25 00:49:03,384,384,0,0,0,,,,,,1,,
816,2023-11-25 00:57:31,1,88,143,1130804099,,2023-11-24 22:05:36,11,.,.,Local,EVDisconnected,2023-11-25 00:57:31,1003770,1018980,10313,0,0,,,,,,1,,
817,2023-11-25 01:10:23,7,73,121,B2-82,,2023-11-24 16:51:56,9,.,.,Local,Local,2023-11-25 01:10:23,0,907,116,0,0,,2023-11-24 17:01:56,,,,1,,
818,2023-11-25 01:37:37,7,74,124,B2-66,,2023-11-25 00:48:56,13,.,.,Local,Local,2023-11-25 01:37:37,184632,185048,297,0,0,,2023-11-25 01:04:57,,,,1,,
819,2023-11-25 01:37:47,7,72,123,B2-65,,2023-11-25 00:49:28,14,.,.,Local,Local,2023-11-25 01:37:47,384,551,151,0,0,,2023-11-25 01:07:28,,,,1,,
820,2023-11-25 01:40:53,7,67,122,B2-70,,2023-11-25 01:39:34,16,.,.,Local,Local,2023-11-25 01:40:53,104892,104892,0,0,0,,,,,,1,,
821,2023-11-25 01:41:30,7,67,122,B2-70,,2023-11-25 01:41:01,17,.,.,Local,Local,2023-11-25 01:41:30,104892,104892,0,0,0,,,,,,1,,
822,2023-11-25 01:45:44,7,72,123,B2-65,,2023-11-25 01:37:53,15,.,.,Local,Local,2023-11-25 01:45:44,551,577,22,0,0,,,,,,1,,
823,2023-11-25 01:46:22,7,74,124,B2-66,,2023-11-25 01:45:27,18,.,.,Local,Local,2023-11-25 01:46:22,185048,185096,30,0,0,,,,,,1,,
824,2023-11-25 04:57:52,7,77,138,B3-2,,2023-11-24 21:03:34,1,.,.,Local,Local,2023-11-25 04:57:52,118206,159613,21783,0,0,,2023-11-25 03:06:38,,,,1,,
825,2023-11-25 15:15:16,7,74,124,B2-66,,2023-11-25 05:46:27,3,.,.,Local,Local,2023-11-25 15:15:16,196141,209646,14162,0,0,,2023-11-25 09:42:30,,,,1,,
826,2023-11-25 18:16:18,7,84,136,B3-39,,2023-11-25 05:57:11,2,.,.,Local,Local,2023-11-25 18:16:18,536008,571298,18123,0,0,,2023-11-25 10:59:14,,,,1,,
827,2023-11-25 18:53:44,7,64,117,B1-136,,2023-11-24 22:10:10,5,.,.,Local,Local,2023-11-25 18:53:44,0,11186,11515,0,0,,2023-11-25 01:31:11,,,,1,,
828,2023-11-25 21:21:26,7,72,123,B2-65,,2023-11-25 05:45:28,2,.,.,Local,Local,2023-11-25 21:21:26,6987,43699,26102,0,0,,2023-11-25 13:00:31,,,,1,,
829,2023-11-26 00:05:33,7,76,133,B3-35,,2023-11-25 19:37:25,4,.,.,Local,Local,2023-11-26 00:05:33,227105,256215,14942,0,0,,2023-11-25 23:46:28,,,,1,,
830,2023-11-26 00:25:03,7,63,119,B1-138,,2023-11-25 15:33:21,6,.,.,Local,Local,2023-11-26 00:25:03,252711,274084,11341,0,0,,2023-11-25 18:42:23,,,,1,,
831,2023-11-26 00:32:14,1,88,143,1130804099,,2023-11-26 00:14:02,12,.,.,Local,EVDisconnected,2023-11-26 00:32:14,1018980,1020580,1090,0,0,,,,,,1,,
832,2023-11-26 02:18:49,7,73,121,B2-82,,2023-11-25 03:17:54,1,.,.,Local,Local,2023-11-26 02:18:49,907,17487,8636,0,0,,2023-11-25 05:41:57,,,,1,,
833,2023-11-26 04:30:36,7,81,134,B3-33,,2023-11-25 19:25:47,3,.,.,Local,Local,2023-11-26 04:30:36,321000,378335,29284,0,0,,2023-11-26 03:33:51,,,,1,,
834,2023-11-26 19:43:17,7,64,117,B1-136,,2023-11-25 19:56:49,7,.,.,Local,Local,2023-11-26 19:43:17,11186,15542,4825,0,0,,2023-11-25 21:17:50,,,,1,,
